2025-09-17 14:40:51 | Turnos: 35 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 1/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 14:45:02 | Turnos: 53 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 14:51:28 | Turnos: 99 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 14:55:23 | Turnos: 51 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 15:00:22 | Turnos: 69 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 15:02:42 | Turnos: 45 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 15:03:34 | Turnos: 23 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 1/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 15:09:10 | Turnos: 55 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 15:17:01 | Turnos: 75 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 15:17:34 | Turnos: 15 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 15:22:06 | Turnos: 59 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 2/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
